Start,End,Excerpt Copy,Codes Applied Combined,Math artefact 1,Math artefact 2,Math artefact 3,Math artefact 4,Meta Label
40649,40660,"[Fixed, T.]",ammended error (others),,,,,egbotdont
950,1093,"Having seen the problem for the first time few minutes ago, the first reaction I have is to try some kind of variation on reductio ad absurdum.",RAA,[problem statement],proof approach – RAA,,,egbotdont
1393,1620," Let C_n be the edge graph of the unit n-cube: so C_n has 2^n vertices and n*2^{n-1} edges. There is an obvious map p from the vertices of C_n to the integers, sending the vertex (i_1, i_2, ..., i_n) to the point \sum i_j a_j. ",re-representation,the edge graph of the unit n-cube [concept],Let C_n be the edge graph of the unit n-cube: so C_n has 2^n vertices and n*2^{n-1} edges. [argument?],There is a map p from the vertices of C_n to the integers [re-representation/analogy],"The map p from the vertices of C_n to the integers sends the vertex (i_1, i_2, ..., i_n) to the point \sum i_j a_j [detailing re-rep/analogy mappings]",egbotdont
1620,1679,We would like to show that p^{-1}(M) cannot disconnect C_n.,wwtst,We would like to show that p^{-1}(M) cannot disconnect C_n. [goal],,,,egbotdont
1681,1738,Is there some classification of sets that disconnect C_n?,question,Is there some classification of sets that disconnect C_n? [question],,,,egbotdont
1739,1849,Is there some measure of size (probably not simple cardinality) in which p^{-1}(M) is too small to disconnect?,question,Is there some measure of size (probably not simple cardinality) in which p^{-1}(M) is too small to disconnect? [question],,,,egbotdont
1855,1879,I’d like to induct on n.,induction,induct on n [proof strategy],,,,egbotdont
1880,1962,"I tried to set it up a few times and failed, but maybe someone else can do better.",social glue, - ,,,,egbotdont
2021,2314,"The following reformulation of the problem may be useful:
Show that for any permutation s in Sn, the sum a_s(1)+a_s(2)…+a_s(j) is not in M for any j=<n.

Now, we may use the fact that Sn is ""quite large"" and prove the existence of such permutation with some kind of a pigeonhole-ish principle.",re-representation,"[problem statement] is equivalent to “Show that for any permutation s in Sn, the sum a_s(1)+a_s(2)…+a_s(j) is not in M for any j=<n.” [re-rep]","we may use the fact that Sn is ""quite large"" and prove the existence of such permutation with some kind of a pigeonhole-ish principle [proof]","[in the case that n=2] the sequence of points landed on is either (a_1, a_1 + a_2) or (a_2, a_1 + a_2). If m is not a_1 or a_2 we can pick either sequence; if m is one of those we pick the other one. [proof of a specific case]","This could be the base case for some induction on n. [proof]
",egbotdont
1095,1245,I hope this kind of comment is in the spirit of the original idea — I apologise in advance if I’ve stepped over the boundary of the experiment’s rules,social glue,,,,,egbotdont
1248,1299,This is definitely in the spirit of the experiment ,social glue,,,,,egbotdont
2381,2984,"If n = 2, the problem reduces to: let a_1, a_2 be distinct positive integers, and let m be a positive integer which is not s = a_1 + a_2. A grasshopper is to jump along the real axis, starting at the point 0 and making two jumps a_1, a_2. Prove that the order can be chosen in such a way that the grasshopper never lands on m.

In this case, the desired result is obvious; the sequence of points landed on is either (a_1, a_1 + a_2) or (a_2, a_1 + a_2). If m is not a_1 or a_2 we can pick either sequence; if m is one of those we pick the other one.

This could be the base case for some induction on n.","suggested base case, simple case"," If n = 2, the problem reduces to: let a_1, a_2 be distinct positive integers, and let m be a positive integer which is not s = a_1 + a_2. A grasshopper is to jump along the real axis, starting at the point 0 and making two jumps a_1, a_2. Prove that the order can be chosen in such a way that the grasshopper never lands on m. [specific example/re-rep of initial problem]",,,,egbotdo
3043,3335,"The following reformulation of the problem may be useful:
Show that for any permutation s in Sn, the sum a_s(1)+a_s(2)…+a_s(j) is not in M for any j=<n.

Now, we may use the fact that Sn is ""quite large"" and prove the existence of such permutation with some kind of a pigeonhole-ish principle",repeated comments, - ,,,,egbotdont
3400,3768,"This is an administrative comment: there are now four comments numbered “2″. Is it possible to clean this up? [Now doing so - T.]

(Incidentally, I know I’ve seen blogs — and I’m pretty sure they were WordPress blogs — that automatically numbered the comments. I’m not sure how to activate this, but it might be useful for this post and others in the “polymath” vein.)",technical issues, - ,,,,egbotdont
3825,3892,"Well, my first thought is to see if the hypotheses seem reasonable.",introducing your comment,,,,,egbotdont
